date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:50:29	299629/299629	---MCZ	200	added ('OK')	text/html	etag:%226886-1697679625;gz%22	https://hubx.digital/cosmos/	C:/Users/Usuario/Desktop/Bagulho/cosmo/hubx.digital/cosmos/index.html	(from )
22:50:29	241/241	---M-Z	200	added ('OK')	text/plain	date:Thu,%2019%20Oct%202023%2001:50:26%20GMT	https://hubx.digital/robots.txt		(from )
22:50:32	53498/53498	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Oct%202023%2001:50:30%20GMT	https://hubx.digital/cosmos/o,baseURI	C:/Users/Usuario/Desktop/Bagulho/cosmo/hubx.digital/cosmos/o,baseURI	(from https://hubx.digital/cosmos/)
22:50:34	53498/53498	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Oct%202023%2001:50:31%20GMT	https://hubx.digital/cosmos/GET	C:/Users/Usuario/Desktop/Bagulho/cosmo/hubx.digital/cosmos/GET	(from https://hubx.digital/cosmos/)
22:50:34	4027/4027	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2019%20Oct%202023%2001:50:32%20GMT	https://analytics.tiktok.com/i18n/pixel/events.js	C:/Users/Usuario/Desktop/Bagulho/cosmo/analytics.tiktok.com/i18n/pixel/events.js	(from https://hubx.digital/cosmos/)
22:50:35	203000/203000	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2019%20Oct%202023%2001:50:33%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/Usuario/Desktop/Bagulho/cosmo/connect.facebook.net/en_US/fbevents.js	(from https://hubx.digital/cosmos/)
22:50:35	4261/4261	---M-Z	200	added ('OK')	application/javascript	etag:%22e8f8077176fce148536a8c439fe01bc3%22	https://s.pinimg.com/ct/core.js	C:/Users/Usuario/Desktop/Bagulho/cosmo/s.pinimg.com/ct/core.js	(from https://hubx.digital/cosmos/)
22:50:36	53498/53498	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Oct%202023%2001:50:33%20GMT	https://hubx.digital/cosmos/Edge/	C:/Users/Usuario/Desktop/Bagulho/cosmo/hubx.digital/cosmos/Edge/index.html	(from https://hubx.digital/cosmos/)
22:50:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Oct%202023%2001:50:34%20GMT	https://hubx.digital/cosmos/e	C:/Users/Usuario/Desktop/Bagulho/cosmo/hubx.digital/cosmos/e.5.delayed	(from https://hubx.digital/cosmos/)
22:50:37	53498/53498	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Oct%202023%2001:50:35%20GMT	https://hubx.digital/cosmos/POST	C:/Users/Usuario/Desktop/Bagulho/cosmo/hubx.digital/cosmos/POST	(from https://hubx.digital/cosmos/)
22:50:37	87482/87482	---MCZ	200	added ('OK')	application/javascript	etag:W/%226518c0c8-1563a%22	https://cdn-ienfc.nitrocdn.com/lnblwrGSgmazhfqNIrzWhndXPUljvtPN/assets/static/optimized/rev-0460670/c0.wp.com/c/6.3.1/wp-includes/js/jquery/nitro-min-jquery.min.js	C:/Users/Usuario/Desktop/Bagulho/cosmo/cdn-ienfc.nitrocdn.com/lnblwrGSgmazhfqNIrzWhndXPUljvtPN/assets/static/optimized/rev-0460670/c0.wp.com/c/6.3.1/wp-includes/js/jquery/nitro-min-jquery.min.js	(from https://hubx.digital/cosmos/)
22:50:38	13577/13577	---MCZ	200	added ('OK')	application/javascript	etag:W/%226518c0c8-3591%22	https://cdn-ienfc.nitrocdn.com/lnblwrGSgmazhfqNIrzWhndXPUljvtPN/assets/static/optimized/rev-0460670/c0.wp.com/c/6.3.1/wp-includes/js/jquery/nitro-min-jquery-migrate.min.js	C:/Users/Usuario/Desktop/Bagulho/cosmo/cdn-ienfc.nitrocdn.com/lnblwrGSgmazhfqNIrzWhndXPUljvtPN/assets/static/optimized/rev-0460670/c0.wp.com/c/6.3.1/wp-includes/js/jquery/nitro-min-jquery-migrate.min.js	(from https://hubx.digital/cosmos/)
